CompanyID,CIK,AddedDate,CloseDate,DaysToClose,WeeksToClose,CompanyStatus,Platform,FundraisingType,EquityType,Industry,Valuation,MinimumInvestment,RoundMinimum,RoundMaximum,Raised,PercentOfGoal,RaisedAmountBucket,SuccessStatus,Investors,CompanyName
313,1692309,2017-10-27,2018-01-25,90,12.9,Successful Raise,StartEngine,Crowdfunding,Equity,Other,,$250,"$10,000","$1,000,000","$22,750",2.3%,#NAME?,#NAME?,35,Affordable Community Energy Services Company
312,1715640,2017-10-27,2018-01-25,90,12.9,Successful Raise,StartEngine,Crowdfunding,Equity,Travel and Adventure,,$100,"$10,000","$1,070,000","$22,411",2.1%,#NAME?,#NAME?,79,4-Scored
311,1639718,2017-10-27,2018-02-28,124,17.7,Successful Raise,Republic,Crowdfunding,SAFE/CN,Technology/Software,,$50,"$50,000","$1,070,000","$327,145",30.6%,#NAME?,#NAME?,"1,083",Roomi
318,1661081,2017-10-31,2018-11-02,367,52.4,Failed To Raise,Wefunder,Crowdfunding,Equity,"Medical, Health and Well Being",,$250,"$350,000","$1,070,000","$691,028",64.6%,#NAME?,#NAME?,941,Airing
317,1706256,2017-10-31,2018-01-14,75,10.7,Successful Raise,StartEngine,Crowdfunding,Equity,Technology/Software,,$450,"$10,000","$107,000","$19,800",18.5%,#NAME?,#NAME?,8,1787fp
316,,2017-10-31,2018-01-26,87,12.4,Failed To Raise,StartEngine,Crowdfunding,Equity,Sports,,$175,"$10,000","$411,000","$3,038",0.7%,#NAME?,#NAME?,16,Los Angeles SuperStars
315,1718535,2017-10-31,2018-01-29,90,12.9,Successful Raise,StartEngine,Crowdfunding,Equity,Technology/Software,,$100,"$10,000","$1,070,000","$32,880",3.1%,#NAME?,#NAME?,115,Horror Equity Fund
314,1664957,2017-10-31,2017-12-31,61,8.7,Successful Raise,Republic,Crowdfunding,SAFE/CN,Technology/Software,,$25,"$25,000","$287,000","$72,355",25.2%,#NAME?,#NAME?,209,Pearachute
325,1719295,2017-11-03,2018-01-02,60,8.6,Failed To Raise,StartEngine,Crowdfunding,Equity,Technology/Software,,$100,"$10,000","$107,000","$7,680",7.2%,#NAME?,#NAME?,31,Karmies
324,,2017-11-03,2018-01-30,88,12.6,Failed To Raise,StartEngine,Crowdfunding,Equity,Technology/Software,,$100,"$10,000","$107,000","$5,300",5.0%,#NAME?,#NAME?,15,WeRTeachers
323,1704108,2017-11-03,2017-12-31,58,8.3,Successful Raise,StartEngine,Crowdfunding,SAFE/CN,Fashion,,$250,"$10,000","$107,000","$11,250",10.5%,#NAME?,#NAME?,13,Style Station
322,1573103,2017-11-03,2018-04-30,178,25.4,Successful Raise,StartEngine,Crowdfunding,Equity,Technology/Software,,$100,"$10,000","$275,000","$52,485",19.1%,#NAME?,#NAME?,113,VoiceVoice
321,1643599,2017-11-03,2018-04-30,178,25.4,Successful Raise,StartEngine,Crowdfunding,Equity,Technology/Software,,$357,"$10,000","$1,070,000","$72,632",6.8%,#NAME?,#NAME?,58,Plum
320,,2017-11-03,2018-01-30,88,12.6,Failed To Raise,StartEngine,Crowdfunding,Other Security Type,Consumer Products & Services,,$100,"$10,000","$107,000","$2,750",2.6%,#NAME?,#NAME?,2,StayblGear
319,1720051,2017-11-03,2018-02-01,90,12.9,Successful Raise,NextSeed,Crowdfunding,Debt,Food & Beverage,,$100,"$150,000","$250,000","$189,600",75.8%,#NAME?,#NAME?,223,Pokéology
334,1671911,2017-11-07,2018-06-30,235,33.6,Successful Raise,Wefunder,Crowdfunding,Equity,Consumer Products & Services,,"$1,000","$50,000","$107,000","$129,904",121.4%,#NAME?,#NAME?,164,Amulet Protective Technologies
333,1720882,2017-11-07,2018-05-04,178,25.4,Failed To Raise,Wefunder,Crowdfunding,SAFE/CN,Consumer Products & Services,,$100,"$50,000","$1,070,000","$13,570",1.3%,#NAME?,#NAME?,60,New Century Cyber Technologies
332,1690781,2017-11-07,2017-12-05,28,4.0,Successful Raise,Wefunder,Crowdfunding,SAFE/CN,Technology/Software,,$500,"$86,300","$828,000","$611,355",73.8%,#NAME?,#NAME?,373,Happy Tax
331,1719698,2017-11-07,2018-04-27,171,24.4,Failed To Raise,Wefunder,Crowdfunding,Equity,Food & Beverage,,$148,"$300,000","$1,070,000","$22,093",2.1%,#NAME?,#NAME?,59,Devotion Vodka
